"Moment","Concepts","Agency","Social"
"I received an unexpected gift.","family","no","no"
"Last night I had a long talk with a colleague I have known for nearly 30 years, yet we came to know entirely new facets of one another.","conversation","yes","yes"
"I got my one bag packed all ready for my plane trip now at last.","vacation","yes","no"
"I had a conversation with a guidance counselor on my future career choices, and things went particularly well.","conversation|career","yes","yes"
"My newly adopted cat and old cat FINALLY play and eating together.","animals","no","no"
"Sometimes I go to my boyfriend's house to have dinner and watch tv or a movie.","entertainment|romance|food","yes","yes"
"I had a stress free day at work today.","career","no","no"
"I finished all my homework for the week.","education","yes","no"
"I got called in for an interview for a job I applied for on a whim and they offered me the job at the end of the interview!","career","yes","no"
"I used up the groceries that I had purchased from the past week without any of them spoiling.","shopping","yes","no"
"When my son went potty on the potty for the first time.","family","no","yes"
"My daughter made her first communion","family","no","yes"
"I won $50 in an office pool.","career","yes","yes"
"I worked on some paperwork that I was behind on...it felt good to get caught up.","career","yes","no"
"I got to spend time with a group of friend's in our Bible study.","education","yes","yes"
"I installed the Libby app on my iPad, successfully logged on to my local library, downloaded a short story, and read it.","technology","yes","no"
"I was able to go out to eat with my family.","food|family","yes","yes"
"I visited my family an hour away.","family","yes","yes"
"I was doing a microwork transcription that was rather annoying because the audio was not clearly, and I was happy to hit the submit button and be done with with.","career","yes","no"
"I bought a kitten","animals","yes","no"
"Having good weather for the first time in about 7 months today.","weather","no","no"
"With the move to Idaho, my family and I were able to get back together again since we had been living in different states for almost a year for financial reasons.","family","yes","yes"
"I bought a new cap from Amazon and it fitted me very well.","shopping","yes","no"
"I worked out this morning and felt a legitimate high from the excellent exercise.","exercise","yes","no"
"Reading my daughter her bed time story and then putting her to bed","family","yes","yes"
"My gentle yoga class, was very nice, relaxing, I didn't look at the clock and wonder how much longer it would be.","exercise","yes","no"
"I ate some good food with my girlfriend.","food","yes","yes"
"My dog sat next to me on the couch, put his head in my lap and snuggled with me which made me very happy.","animals","no","no"
"I was interviewed for a job.","career","yes","no"
"The release of the new Lil yachty album.","entertainment","no","no"
"Today I went in the morning to the service of the church, and singing to God gives me happiness","religion","yes","no"
"A colleague brought in chocolate cupcakes to work and it was an unexpected surprise.","career|food","no","yes"
"Went to the gym and worked out.","exercise","yes","no"
"I visited my long distance boyfriend for a week on his campus during spring break.","vacation","yes","yes"
"I got to eat a favorite meal.","food","yes","no"
"Since I am a student,  I was working hard to keep my grades up and hopefully win a scholarship- my hard work paid off and I was awarded $1000 back in February.","career","yes","no"
"I watch a funny video and laugh a lot.","entertainment","yes","no"
"I played some dota.","entertainment","yes","no"
"I randomly ran into an old friend while I was shopping.","shopping","yes","yes"
"My son's sore throat feels better today and he went to school.","education","yes","no"
"My daughter came home straight from school to go shopping and spend time with me rather than hanging out with her friends.","family|shopping","no","yes"
"I made $100 on mturk for the first time ever yesterday!","career","yes","no"
"The day our family went out to the family festival.","family","no","yes"
"An old friend invited me to work on a project.","career","no","yes"
"I watched Coachella online","entertainment","yes","no"
"My mom saw I wasn't feeling super well and offered to wash my bed clothes when I brought them downstairs to wash them myself.","family","no","yes"
"I basically got a CSS programming certificate.","education","yes","no"
"I had some really yummy chicken wings tonight.","food","yes","no"
"I helped a friend assemble some items from Ikea today and he treated me to dinner.","food","no","yes"
"Getting free food at work","food","yes","no"
"Something that made me happy was that my parents helped my son make me breakfast in bed because he had seen a character in one of his shows do it.","family|food","no","yes"
"Yesterday, I ate a delicious sub sandwich from Subway. ","food","yes","no"
"My girlfriend bought me a present","romance","no","yes"
"I gave a hero bicycle learn to my sister son.He saw the cycle his happy is endless.I feel very proudly saw his happy.He learn the cycle in 30 minutes.then we back our home and ate some foods then he went his bed,he cant forget the surprise.I feel very comfortable the situation.","family","yes","yes"
"A friend I hadn't talked to in a while got a hold of me and wanted to hang out.","conversation","yes","yes"
"My dog was super happy to see me when I got home from lunch.","animals|food","yes","no"
"Spring break had begun on my campus.","vacation","no","no"
"I was happy to help my dad remove a bunch of foliage from his front lawn.","family","yes","yes"
"I went to the gym in the morning.","exercise","yes","no"
"Dinner with my family (parents, children & grandchildren)","family|food","yes","yes"
"Going to get ice cream with my girlfriend","romance|food","yes","yes"
"We went to see the Pittsburgh Pirates play the Yankees and it was such a great game.","entertainment","yes","yes"
"I was happy when my special 2-tone purple Iris bloomed this morning.","exercise","yes","no"
"Had a great dinner made and ate it with my family.","food|family","yes","yes"
"I got a bonus at my job that I have been working at for six years.","education|career","yes","no"
"School out for summer","education","no","no"
"I was able to see my best friend for the first time in 2 years because she was in Australia.","vacation","yes","yes"
"I was extremely happy to see how many people paid tribute yesterday to my late boyfriend on the one year anniversary of his death.","romance","no","yes"
"I was playing a video game and ""broke it"", by beating it too well.","entertainment","yes","no"
"I hit another major milestone in the book that I am writing.","entertainment","yes","no"
"I found this youtube series not long ago that has made me laugh harder than I've laughed in months, literally hurt my sides laughing from it.","entertainment","yes","no"
"Beginning my last semester of college.","education","yes","no"
"Coloring in my adult coloring book this morning.","entertainment","yes","no"
"I was happy that my favorite baseball team won their game today.","entertainment","no","no"
"I took a day off yesterday from working.","career","yes","no"
"My son hit a single, double, and triple in his baseball game last night!","entertainment","no","yes"
"Having my favorite dish after long time","food","yes","no"
"I had a meeting go very well at work the other day and received a client compliment.","career","no","yes"
"Getting free tickets to a concert.","entertainment|shopping","no","no"
"I got ice cream with my family after work!","food","yes","yes"
"I got to pet a cool dog when I was in a wine shop.","animals|shopping","yes","no"
"I bought 2 books at the public library for 20 cents.","shopping","yes","no"
"Spent a day a while ago at a graduation party, we had a couple beers tossed the frisbee as well as played a couple cool games.","entertainment|party","no","yes"
"I ran for two miles this morning.","exercise","yes","no"
"I went on a run for the first time in 2 weeks, and the sunny weather during my run put me in a good mood.","exercise|weather","yes","no"
"I listened to new music from a band my boyfriend show me and it was really good listening.","entertainment","yes","yes"
"Listening to a good song.","entertainment","yes","no"
"Got a new car last month.","shopping","yes","no"
"I was able to finally watch a movie that I really been wanting to see and thoroughly enjoyed it.","entertainment","yes","no"
"My husband and I had our last meal in our old apartment.","family|food","yes","yes"
"Had a great productive workout that energized me for the rest of the day.","exercise","yes","no"
"I washed my dog today and now he smells nice.","animals","yes","no"
"I felt happy when My mom was awarded a new house in Florida.","family","no","yes"
"I unlocked a new card on Clash Royale.","technology","yes","no"
"Lost enough weoght to fit into a size smaller pants","exercise","yes","no"
"I got my engagement ring out of layaway finally.","romance|family","yes","no"
"My oldest daughter's military promotion ceremony","party|family","no","yes"
"I binge watched the recent release of Unbreakable Kimmy Schmidt.","entertainment","yes","no"
"I finally got a response from a modeling agency I'd been sending material two for the past couple of years.","career","no","yes"
"3) Going out for a jog with my dog in the morning yesterday, when we get home she is the epitome of happiness and it makes me feel the same to see her so happy. ","animals|exercise","yes","no"
"I worked out and make good progress on my weight lifting goal.","exercise","yes","no"
"I got ice cream from the soft serve machine in the cafeteria.","food","yes","no"
"Went with my mother to play poker tonight and we both won big--she never wins so I was thrilled for her.","family|entertainment","yes","yes"
"I watched the live stream of a live show of one of my favorite podcasts, Another Round.","entertainment","yes","no"
"I ran two miles at a fast pace, that I have never achieved before. ","exercise","yes","no"
"I was asked to join a table and sit with some people that invited me.","food","no","yes"
"I was able to indulge in a brownie I can actually eat that won't negatively affect me due to gastrointestinal issues.","food","yes","no"
"My sister-in-law's dog fell into the rapids while hiking and I was able to rescue it.","animals|family|exercise","no","yes"
"Celebrated 60th Birth Day of my Father","party|family","yes","yes"
"I'm drinking a delicious beer at home.","food","yes","no"
"The school I used to teach at contacted one of my colleagues, who really needs the money, to fill the position I left for another job. ","career|education","no","yes"
"I found a job posting that looks interesting and promising.","career","yes","no"
"I was named team lead to a very large team project at work last week.","career","yes","yes"
"I started to study nan geetha.","education","yes","no"
"I spent the day playing arcade games with my boyfriend and daughter.","entertainment|family","yes","yes"
"I attended the wedding of a long time friend and coworker and enjoyed a great dinner.","party","yes","yes"
"I made some tea by the fire.","food","yes","no"
"Traveling through the Greek Islands during the summer.","vacation","yes","no"
"I ordered my favorite burrito from my favorite restaurant and it was DE-LISH!","food","yes","no"
"I won the regatta race in my Township game.","entertainment","yes","no"
"I finally got my phone to take pictures correctly.","technology","yes","no"
"I watched some interesting E3 content.","entertainment","yes","no"
"We all ladies member from my family went for a lunch at seven star hotel n it was so much fun when all ladies go together n gossip","food|family","yes","yes"
"past month i went a vocation from my office.all of our office colleges are attended the vocation.we all went by a bus.we played games and danced in the bus.it was interesting and very happiest moment in my life.we all enjoyed lot.","entertainment|party","yes","yes"
"Received a free pizza for answering a survey.","food","yes","no"
"I bought a mortar and pestle.","shopping|food","yes","no"
"While driving from office to home.","career","yes","no"
"My daughter made me happy when she gave me a hug.","family","no","yes"
"I was feeling sick and made some good soup that was good for coping with being sick.","food","yes","no"
"I received a very special gift from my inlaws to celebrate 10 years of marriage that we celebrated this month.","party","yes","yes"
"Went clothes shopping","shopping","yes","no"
"I made breakfast faster than normal.","food","yes","no"
"It made me happy when I won an award at home.","family","no","yes"
"I got a brand new pair of Nikes half off.","shopping","yes","no"
"My friends and I planned a camping trip to a lake, where we floated around on a raft and drank beer and just relaxed!","vacation","yes","yes"
"I finished an analysis of data for work.","career","yes","yes"
"Finding out the insurance has approved our claim to get our roof fixed from hail damage.","romance","no","no"
"There was a shoe sale at JCPenny so I was able to buy new hiking shoes.","shopping","no","no"
"I read a book while I had my breakfast this morning, which made me happy.","entertainment|food","yes","no"
"Finally finding shoes for my daughter that fit her.","family|shopping","yes","yes"
"I got to sleep in this weekend for the first time in a long time.","vacation","yes","no"
"I passed my real estate license test.","education","yes","no"
"Taking my last final and completing the last commute to and from the city until fall.","vacation","yes","no"
"I went on a bike ride with my family.","exercise|family","yes","yes"
"MY BOY FRIEND LOVE'S FEELING","romance","no","yes"
"I passed my final exam for a subject I wasn't confident about","education","yes","no"
"I managed to have over my in-laws for dinner and the food was perfect and everyone had a good time!","food|family","yes","yes"
"I scheduled my vacation to go to Colorado on my own without any responsibilities.","vacation","yes","no"
"Last month my boss give me bonus and promotion also its happiest moment for me.","career","no","yes"
"Just going out with friends for a dinner and a few drinks","food|party","yes","yes"
"I played the game topple with my nephew.","entertainment|family","yes","yes"
"A student of mine told me a story about how classes have positively impacted their life.","conversation|education","no","yes"
"When my poster was accepted to an academic conference.","education","no","no"
"I had a paper accepted in a journal","education","yes","no"
"I was very happy when I found out that my neighbor's dog overcame an accident.","animals","no","yes"
"Had a really good dinner at a nice restaurant.","food","yes","no"
"I found out my sister is having a baby.","family","no","yes"
"I improved an excel sheet to be more automated.","education","yes","no"
"I won a match in a game I was playing.","entertainment","yes","no"
"I reached a new level of mastery today in a game that I play that allows me to help new players and puts me at a greater role in the community.","entertainment","yes","yes"
"I receive a phone call from the girl i like,about a book we talk yesterday,she want to borrow it and that gives me positive vibes that she might like me.","conversation","yes","yes"
"My significant other and I are planning to watch the two latest episodes of two animes this weekend.","entertainment","yes","yes"
"I completed the work on my friends mower and it is ready to go back home.","vacation","yes","yes"
"our vp told me that I wast the best person in the plant","romance","no","yes"
"I work from home and got suddenly swamped with nonstop ""nearly impossible to finish by the deadline"" work all finished and completed in advance of the deadline. ","career|education","yes","no"
"My younger son celebrate their birthday with family","family","no","yes"
"I made a cup of coffee that was perfectly sweetened to my taste.","food","yes","no"
"A favorite TV show of mine showed a preview, and in the preview one of my favorite couples looks like they have a kiss coming up in a future episode.","entertainment","yes","no"
"Today was my 'cheat day' for my diet, the first in a month, and I ate a reasonable amount of all my Easter favorites.","food","yes","no"
"My youngest son snuggled into me as we both woke up together in my bed.","family","yes","yes"
"i was walking to the store to get cat food and cat litter...   i found 20 dollars in parking lot...that does not happen everyday..  i bought my stuff and the person behind me...   made her day","animals","yes","yes"
"I had fun on a trip to Las Vegas.","vacation|entertainment","yes","yes"
"When I pulled into the gate of my work today, I could see the Strait of Juan de Fuca and I realized how lucky I was to work in such a beautiful place.","career","yes","no"
"My uncle whi is my unwanted house guest with no intentions of moving stayed out for  2 days .","family","no","yes"
"My boss bought some people pizza at work yesterday which was great","career|food","yes","yes"
"I was very happy when my  husband and I had an entire day to ourselves to go explore downtown Dallas one Saturday.","family|romance","yes","yes"
"first beautiful event happen in yesterday i come on my office as regularly.duty is running suddenly my hubby give me surprise to come there.he take me for lunch we both spend time together after long time.this was very beautiful happiness time.","exercise","no","yes"
"This morning I was invited to go to lunch later today with a small group of coworkers that I like a lot.","food","no","yes"
"My fiancee accepted my marriage proposal.","romance|family","no","yes"
"My SO made me a shelf today.","family","no","yes"
"My cat came in the house and started rubbing his face up against mine and purring.","animals","no","no"
"Finding out that I am losing weight and my hard work is paying off.","exercise|career","yes","no"
"A put in a good workout at the gym after procrastinating.","exercise","yes","no"
"I won $900 in a harness race.","entertainment","no","no"
"I was happy when my (soon to be ex-) wife got fired from her job about a month ago.","romance|career|family","yes","yes"
"While checking out at the grocery store the cashier notified me of a coupon on one of the items I checked out which I had no clue about.","shopping","no","yes"
"When I heard a song I liked on the radio.","entertainment","yes","no"
"I was happy to receive the news that our dog's illness was not life threatening and he would be better in time with medication.","animals","yes","yes"
"Last semester I passed the hardest class in my graduate program.","education","yes","no"
"I have received my clearance and qualified for master's degree graduation.","education","yes","no"
"we planned a trip to the lake","vacation","yes","yes"
"Digivolving in a game, I've been working towards that for an hour!","entertainment","yes","no"
"I was able to stick to a budget and save money for a vacation to Disney World.","vacation","yes","no"
"Sharing the gender of the baby with my family.","family","yes","yes"
"Had the perfect seafood lunch at our favorite restaurant with my whole family.","food|family","yes","yes"
"I ordered some items online for myself that I've been thinking about getting.","shopping","yes","no"
"I listened to the latest episode of 2 Dope Queens (a podcast.)","entertainment","yes","no"
"my daughter wins the scholarship exam conducted by the school with high marks only 3 children qualified for the scholarship i felt so happy and proud","education|family","no","yes"
"I won some free yogurt at the grocery store.","food","yes","no"
"I was amazingly happy when two of my children graduated this weekend.","family|education","no","yes"
"My favorite soccer team just won the Romanian league in the last match of the season.","entertainment","no","yes"
"I took a nap promptly after class.","education","yes","no"
"About a month ago a friend i had not seen in years came to town and stayed with me for a weekend.","vacation|conversation","yes","yes"
"My dog woke me up this morning when he pushed his way under the covers and cuddled up next to me","animals","no","no"
"In the past 3mth my friend from US visited India n she stayed with me for a month I wa so happy to spend so much time with her","family","yes","yes"
"I adopted a cat from a local shelter a few weeks ago.","animals","yes","no"
"i delivered a big order to a woman at her home today and she was so appreciative that i got it there so fast!","shopping","yes","yes"
"I finally timed my new commute correctly today, so I was on time for work instead of running late and feeling frazzled.","exercise","yes","no"
"Going swimming with my girlfriend was a fun experience.","romance|exercise","yes","yes"
"I was able to listen to my baby's heartbeat on and ultrasound for the first time.","family","yes","yes"
"I rekindled a friendship with an old friend that I had lost touch with.","conversation","yes","yes"
"Amazon is taking full responsibility by replacing and paying for all shipping costs on a defective item that they sent me.","shopping","yes","no"
"Purchased tickets for a concert this coming summer for my wife and I to attend","shopping","yes","yes"
"I GOT MY NEW BIKE THAT MADE ME VERY HAPPY.","shopping","yes","no"
"I got to see my best friend and her baby.","family","yes","yes"
"I found 50 dollars outside of the grocery store","food","yes","no"
"My boyfriend invited me to spend the night at his house.","romance","no","yes"
"I had time to try out a brewery while on my work trip.","vacation|career","yes","no"
"Have sex with my wife.","romance","yes","yes"
"Yesterday an old man was injured with an accident at that time i have called to an ambulance and went to hospital,finally i have saved that old man's life, i felt very happy.","conversation","yes","yes"
"Watched a movie with friends","entertainment","yes","yes"
"Speaking with my sister for the first time in a few months.","family","yes","yes"
"Something very small but yet held so much meaning to me, my nephew who lives in NJ ( I live in LA) facetimed with me and showed me his ""first"" steps and said hi aunt manda....it made my heart smile...that he knew who I was even though we've only formally met 2-3 times.","family","no","yes"
"I went to Powell's Bookstore with a friend and bought many books by my favorite authors.","entertainment|shopping","yes","yes"
"I was able to work in the building closer to my house, so my commute home last night was only 15 minutes.","career","yes","no"
"My family was tour in the wonderla","family|vacation","no","yes"
"A design agency I'd been wanting to work for posted a job opening on Linkedin.","career|technology","no","no"
"I discovered a new genre of music I like (future funk).","entertainment","yes","no"
"I helped my son's 4-H club pick up trash on trail near the river.","family","yes","yes"
"I bought myself a large plant with two flowers on it for my apartment balcony.","shopping","yes","no"
"when my uncle got celebrate anniversary","party|family","no","yes"
"I watched a good, competitive match in the NCAA basketball finals with UNC and Gonzaga.","entertainment","yes","no"
"We are the animals in the zoo.Lion,Elephant,Tiger,Fox,Giraffe and other small animals.we are take photos.","animals","yes","no"
"My daughter made me lunch.","food","no","yes"
"I WENT TO FRIEND HOME","vacation","yes","yes"
"Bought my girlfriend some items from Amazon that she was eager to buy.","shopping|romance","yes","yes"
"I quit my job after feeling very depressed and I now feel relieved.","career","yes","no"
"I am very happy when my wife got a new job as per her requirement.","career|family","no","yes"
"I learned some new recipes for food that I had wanted to know how to cook for a long time.","food|education","yes","no"
"Got invited to my buddy's wedding.","party","no","yes"
"I found a box of my old Gameboy Advance cartridges.","entertainment","yes","no"
"I found an Android app that can make free texts over WiFi.","technology","yes","no"
"A friend helped cover the cost for a car repair.","shopping","no","yes"
"My loved mutton fry ate at yesterday evening","food","no","no"
"Two days ago I saw a very cute pair of older Labradors on a walk.","animals","no","no"
"I won 100 $ at online gambling","entertainment","yes","no"
"I was happy when I was at church for adoration last Thursday, it was so peaceful.","religion","yes","no"
"I got my EBT card refilled today and was able to go grocery shopping.","shopping|food","no","no"
"When I am getting ready to go to my office, My parents send off with cute smile and say ""Have a nice day and Take care""","career|family","no","yes"
"My birthday on march.That day I got gifts  from my friends.we went barbeque nation for dinner.the hole day was very happy for me.","party|food","yes","yes"
"I spent quality time with my little brother this weekend.","family","yes","yes"
"The coworkers I met for lunch today were nice people and I had a good chat with them.","food|conversation|career","yes","yes"
"Completing the fire academy.","education","yes","no"
"I bought a couple new video games for my computer.","entertainment","yes","no"
"I was happy that my cheeseburger tasted so good","food","yes","no"
"I work-shopped an essay and everyone enjoyed it.","career","yes","yes"
"I picked up a little kitten named Bean and he was really soft.","animals","yes","no"
"I finally completed the training courses that I needed to get done.","education","yes","no"
"My younger son does not like to eat but he ate his whole dinner last night.","family|food","no","yes"
"I was told that the school I teach it will be closed all week, but teachers will still be paid.","education","no","no"
"I got my favourite colored shirt as a gift from my sister.","family","no","yes"
"played clash of clans manual game in railroad with group of friends.","entertainment","yes","yes"
"My wife took me out for breakfast this morning.","romance","no","yes"
"my professor was pleased with the work i'd accomplished.","career","no","yes"
"I went for a run after it rained and the air was cool and crisp and felt good on my skin.","weather","yes","no"
"I called off work today and I slept in.","career","yes","no"
"I was able to poop after being constipated for a few days.","weather","yes","no"
"Ended my day by taking some spare time and watching an old comedy movie I have no seen in years.","family","yes","no"
"I got a job working from home","career","yes","no"
"My father bought me a bicycle.","shopping|family","no","yes"
"I received my IRS TAX REFUND","career","no","no"
"A close friend from Europe came to visit me for the first time in a few months.","vacation","no","yes"
"Taking a long drive on a calm road with my family members who love me always.","family","yes","yes"
"I was happy today when a friend I have not seen in a long time called me and wanted to go to lunch.","conversation","no","yes"
"Tried a new recipe that turned out great!","food","yes","no"
"My son told me he is having the best time while we were at the beach this morning in Florida.","family|vacation","no","yes"
"i got a hold of my buddy today, and we're going to go camping while my wife has the baby with her out of town.","vacation","yes","yes"
"I made a delicious dinner and my picky son loved it.","food|family","yes","yes"
"I enjoyed eating some cookie dough.","food","yes","no"
"I walked my dog and ran in to an old friend.","animals","yes","yes"
"At work we received free lunch two days in a row.","career|food","no","yes"
"An event that made me happy in the last 3 months was the day I found out I was pregnant.","family","no","yes"
"Went to Nephew's party, he just turned 5, Spending time with family was great. ","family","yes","yes"
"Annual salary hike and bonus last month.","career","no","no"
"I went on a walk with my boyfriend when he's been away for 5 days.","exercise|romance","yes","yes"
"I downloaded this game that was highly rated from the app store because I needed something to relax and I found it to be really fun and enjoyable.","entertainment|technology","yes","no"
"My boyfriend and I had a serious discussion that did not end in a huge argument.","romance","yes","yes"
"Visiting with an old friend I have not seen in a while.","conversation","yes","yes"
"Going to a fancy dinner","food","yes","no"
"we named our first child","family","yes","yes"
"I attended an art exhibition cum obstacle race.","education","yes","no"
"My 2 year old daughter really started having back and forth conversations with me which makes me happy to start to understand her needs and wants better.","family","no","yes"
"I was finally able to finish up the last stanza of a poem that I had been working on for a while and had been stuck on.","career","yes","no"
"My husband got me a mothers day card.","family","yes","yes"
"Receiving a warm welcome home from my two greyhounds.","animals","yes","yes"
"last week I purchased a new car.","shopping","yes","no"
"I got good feedback from my boss on a project I am working on.","career","no","yes"
"My wife and I decided to try to conceive.","romance","yes","yes"
"I went to my relative marriage function and had great time with my friends.","party","yes","yes"
"I received a package in the mail that I have been waiting for awhile, I though it was lost in the mail.","career","no","no"
"I ate chik-fil-a","food","yes","no"
"My wife and I watched a Louis CK comedy show on Netflix, it was hilarious.","entertainment|family","yes","yes"
"My father came home today from our village after a long vacation.","vacation|family","no","yes"
"Getting news that I may have a new job soon","career","yes","no"
"When I was able to make an older women's day at the grocery store.","food","yes","yes"
"I finally got to see a girl that I like after not being able to for several weeks.","romance","yes","yes"
"Got to see my nephew.","family","yes","yes"
"It made me very happy to buy me a new watch in an online store.","shopping","yes","no"
"I finally finished a big project at work.","career","yes","no"
"I get a child free night tonight at a dinner party.","food|party|family","yes","yes"
"I went for a 4 mile run.","exercise","yes","no"
"I was very happy last night because I was able to have a long phone conversation with a friend that I had not heard from in a couple years.","conversation","yes","yes"
"My mother in law made a very tasty snack especially for me in the evening.","family","no","yes"
"Small event but i was pretty happy when i buffed and waxed my car after putting it off for a few days.","weather","yes","no"
"I was happy when I spent tonight cooking with my parents.","food|family","yes","yes"
"My friend and I went for a long hike at a beautiful park.","exercise","yes","yes"
"I watched a good movie yesterday.","entertainment","yes","no"
"An ex-gf got back in touch with me who I had been thinking about.","romance|conversation","no","yes"
"I recently bought two friends a housewarming present and I was nervous about whether they would like it or not and they really loved it, which made me so happy. ","shopping","yes","yes"
"I got a big order for designing clothes as I am good at it","shopping","yes","no"
"I was having problems with my phone so bad it was made essentially useless, but I was able to get a (new to me) phone and it works. ","technology","yes","no"
"I took a nice nap for an hour or so and my kitty joined me.","animals","yes","yes"
"I visited my brother who lives in a different state.","family|vacation","yes","yes"
"After months of playing I found all 900 Korok seeds in The Legend of Zelda Breath of the Wild.","entertainment","yes","no"
"prepared food for the first time","food","yes","no"
"Talking to my mom, as I do each Monday, and hearing her sound so positive and feeling good about life.","conversation|family","no","yes"
"I got to attend the graduation party of a high school student I helped tutor in calculus this year.","education|party","yes","yes"
"I m very happy when my boss ask to me that she promoted me in senior management.","career","no","yes"
"A free demo for a video game was made available without having to preorder it.","entertainment","no","no"
"My son said the word banana for the first time.","food|family","no","yes"
"I ate my favourite dish","food","yes","no"
"MY MOTHER BOUGHT ME THE WATCH FOR ME.","shopping|family","no","yes"
"I found out that we get out of work early on this Friday, leading into our three day weekend","career","yes","no"
"I got same design dress for me and my daughter","family","yes","yes"
"I received a promotion at work and received an increase in pay because of it.","career","yes","no"
"I was happy when I saw that my kid was practicing her guitar on her own.","family|education","no","yes"
"I watched an episode of Fargo, season 3.","entertainment|animals","yes","no"
"I tilled and sodded my parents front yard.","family","yes","no"
"My best friend went into labor and I got to see her new baby girl!","romance","no","yes"
"Mcdonald's is thinking about bringing back the szechuan sauce they originally released in 1998, and I'm looking forward to sampling that. ","entertainment","no","no"
"We had a fun evening the other night with friends over for movies, and Pizza.","food|entertainment","yes","yes"
"I woke up next to my boyfriend.","romance","yes","yes"
"In the last 3 weeks months, my family and I adopted a baby pug which made me and my family extremely happy!","family","yes","yes"
"My favorite TV show has new episodes","entertainment","no","no"
"I watched one of my favorite TV shows last night, it was the season finale and I thoroughly enjoyed it. ","entertainment","yes","no"
"I got to play my ps4 after 6 months of not touching the system since I had been abroad for work.","entertainment","yes","yes"
"My parents' dogs born 3 puppies so I just had the chance to visit them and play with the puppies.","animals","yes","yes"
"I GOT A OWN CAR","shopping","yes","no"
"When our small business successfully completed a big holiday week last week.","career","no","yes"
"My grandpa bought me some hash browns from McDonald's without me asking for them.","shopping","no","yes"
"I was able to meet with a manager at work and he had many positive things to say about my recently completed work.","career","yes","yes"
"When I checked my turk account and seen I made 25 dollars yesterday completing tasks.","career","yes","yes"
"I made significant progress in completing a work project.","career","yes","no"
"I watched a sunrise at nearby beach.","vacation","yes","yes"
"I made some money on mturk","career","yes","no"
"I went on a trip to Miami, Florida and visited the beach. ","vacation","yes","no"
"I had a burger from McDonald's for lunch.","food","yes","no"
"I got to eat  at this burger joint that i had been wanting to go to for a long time and it was delicious.","food","yes","no"
"Some time spent petting and cuddling with my purring cat.","animals","yes","yes"
"When i can see my brother at the station, this was very comfortable for me.","family","yes","yes"
"I completed my 3rd last day at work.","career","yes","no"
"i made  new small nest to my pet birds","animals","yes","no"
"Going surfing in the late afternoon and catching some fun waves.","entertainment","yes","no"
"I got a job promotion","career","yes","no"
"I got a dog.","animals","yes","no"
"Going out to a famous disco and listen to one of the best dj's in the world.","entertainment","yes","yes"
"Going to the movies with my dad.","entertainment","yes","yes"
"I went to the grocery store and was able to purchase more than I anticipated for a very limited amount of money.","shopping","yes","no"
"We were having to purchase flood insurance for our new home, and after receiving an initial quote of $2,000+, we were able to find a company who offered the same coverage for under $300.","shopping","yes","yes"
"Last Friday my boss sent me an email praising me for my work on a project.","career","yes","yes"
"After my crush agreed to go on a date with me.","romance","no","yes"
"I enjoyed nice big evening meal after I got back from the walk with fresh garlic and salad.","exercise|food","yes","no"
"My mom brought me a slice of pizza.","food|family","no","yes"
"I made reservations for an upcoming vacation.","vacation","yes","no"
"I prepared chicken soup in my home and had it.The soup was so tasty.","food","yes","no"
"My daughter seems to have completely gotten over her cold.","family","no","yes"
"My husband bought the family a large swimming pool.","family|shopping","no","yes"
"Injustice 2, a game I have been waiting to play for a long time, was finally released and I got to play it.","entertainment","yes","no"
"I finished a project at work that I had been working on for months.","career","yes","no"
"My husband did the dishes for me.","family","yes","yes"
"I talked to my nephew.","conversation|family","yes","yes"
"Watching a movie about Quantum Physics because it made me feel a little better about death.","entertainment","yes","no"
"My mom and sister found a home to live in, when they were previously homeless.","family","yes","yes"
"I had fun playing sand castles with my son","family|entertainment","yes","yes"
"My six month old son laughed at me.","family","no","yes"
"While I was attempting to follow along on a Tai Chi lesson on my computer, I noticed all of my pets were involved in some way too. ","exercise","yes","no"
"I brought a new pair of headphones","shopping","yes","no"
"Had a get together and dinner with some old friends and had a fun time.","conversation|party","yes","yes"
"I finished a really good book that had a much more satisfying ending than the previous book I'd read.","entertainment","yes","no"
"My boss praised me at work in front of our entire team about how good my work was.","career","no","yes"
"completed a major project","career|education","yes","no"
"My daughter's good grades made me happy because she worked really hard this past term and was struggling in math","family|education","no","yes"
"Sharing a good joke with my mother.","family","yes","yes"
"Today I see my old best friend and we talk some old memories.","conversation","yes","yes"
"I beat the second Legend of Zelda game for the NES and it's really a hard game!","entertainment|technology","yes","no"
"I won 5 dollars on a lottery scratch off ticket.","shopping","no","no"
"My son has started giving me big kisses and telling me he loves me over and over, that makes me very happy, he is  2. ","family","no","yes"
"I was able to go to the store by myself without my child.","shopping","yes","yes"
"I had some time to spend with my son building Legos.","family","yes","yes"
"I went to a butterfly exhibit with my boyfriend yesterday.","romance","yes","yes"
"My father gave me a ring for my marriage anniversary celebration today morning.","family|romance|party","no","yes"
"My wife grilled shrimp for dinner the other night.","food|family","no","yes"
"I placed 2nd in a local Magic: The Gathering tournament and won a small prize.","entertainment","yes","yes"
"I was able to babysit with a grandma and hear her life story, which was very interesting.","family","yes","yes"
"I finally finished a musical piece I had been trying to create this past Sunday.","entertainment","yes","no"
"Bought all the ingredients for a special lunch I want to make.","shopping|food","yes","no"
"I Enjoyed having food","food","yes","no"
"I got together with some guy friends to see a movie.","entertainment","yes","yes"
